일자,시가,고가,저가,종가,등락률,거래량
2020-09-10,"59,900","60,000","59,100","59,200",1.37,"29,923,293"
2020-09-09,"58,200","59,300","57,800","58,400",-0.51,"30,597,399"
2020-09-08,"57,400","58,700","57,200","58,700",3.89,"31,517,520"
2020-09-07,"56,100","57,300","55,800","56,500",1.62,"18,685,880"
2020-09-04,"55,200","55,800","55,100","55,600",-1.42,"22,139,109"
2020-09-03,"55,600","56,700","55,500","56,400",3.68,"28,384,920"
2020-09-02,"54,600","55,100","54,100","54,400",0.37,"16,905,723"
2020-09-01,"54,100","54,800","54,100","54,200",0.37,"19,363,117"
2020-08-31,"56,000","56,100","54,000","54,000",-2.53,"32,671,367"
2020-08-28,"56,100","56,300","55,400","55,400",-0.36,"14,619,888"
2020-08-27,"56,300","56,300","55,600","55,600",-1.42,"16,196,568"
2020-08-26,"56,400","56,500","55,700","56,400",0,"17,651,593"
2020-08-25,"56,400","56,800","56,100","56,400",0.53,"14,021,705"
2020-08-24,"55,800","56,600","55,400","56,100",0.36,"15,055,896"
2020-08-21,"56,200","56,900","55,800","55,900",0.9,"21,142,288"
2020-08-20,"57,600","57,600","55,300","55,400",-4.15,"30,386,029"
2020-08-19,"59,000","59,200","57,800","57,800",-1.03,"16,930,719"
2020-08-18,"58,900","59,900","58,000","58,400",0.69,"25,307,825"
2020-08-14,"58,000","58,400","57,700","58,000",-1.19,"15,672,548"
2020-08-13,"59,400","59,600","58,000","58,700",-0.51,"22,089,460"
2020-08-12,"58,200","59,000","57,700","59,000",1.37,"18,573,934"
2020-08-11,"58,000","59,500","57,800","58,200",0.69,"24,907,912"
2020-08-10,"57,600","58,300","57,500","57,800",0.52,"17,774,291"
2020-08-07,"57,900","58,400","57,100","57,500",-0.86,"18,751,717"
2020-08-06,"57,100","58,400","57,100","58,000",1.93,"21,625,874"
2020-08-05,"57,300","57,500","56,300","56,900",-0.7,"17,739,706"
2020-08-04,"57,200","58,100","57,000","57,300",0.88,"19,419,694"
2020-08-03,"57,800","57,900","56,700","56,800",-1.9,"21,158,940"
2020-07-31,"59,500","59,600","57,700","57,900",-1.86,"21,943,345"
2020-07-30,"59,700","60,100","59,000","59,000",0,"19,285,354"
2020-07-29,"60,300","60,400","58,600","59,000",0.68,"36,476,611"
2020-07-28,"57,000","58,800","56,400","58,600",5.4,"48,431,566"
2020-07-27,"54,300","55,700","54,300","55,600",2.58,"21,054,421"
2020-07-24,"54,000","54,400","53,700","54,200",0.18,"10,994,535"
2020-07-23,"54,700","54,700","53,800","54,100",-1.1,"16,214,932"
2020-07-22,"55,300","55,500","54,700","54,700",-1.08,"12,885,057"
2020-07-21,"55,200","55,400","54,800","55,300",2.03,"18,297,260"
2020-07-20,"54,800","54,800","54,000","54,200",-0.37,"10,507,530"
2020-07-17,"54,200","54,700","54,100","54,400",1.12,"10,096,174"
2020-07-16,"54,800","54,800","53,800","53,800",-1.65,"16,779,127"
2020-07-15,"54,400","55,000","54,300","54,700",1.67,"24,051,450"
2020-07-14,"53,700","53,800","53,200","53,800",0.75,"14,269,484"
2020-07-13,"53,300","53,800","53,100","53,400",1.33,"12,240,188"
2020-07-10,"53,100","53,200","52,300","52,700",-0.19,"13,714,746"
2020-07-09,"53,200","53,600","52,800","52,800",-0.38,"17,054,850"
2020-07-08,"53,600","53,900","52,900","53,000",-0.75,"19,664,652"
2020-07-07,"55,800","55,900","53,400","53,400",-2.91,"30,760,032"
2020-07-06,"54,000","55,000","53,800","55,000",2.61,"19,856,623"
2020-07-03,"53,000","53,600","52,700","53,600",1.32,"11,887,868"
2020-07-02,"52,100","52,900","52,100","52,900",0.57,"14,142,583"
2020-07-01,"53,400","53,600","52,400","52,600",-0.38,"16,706,143"
2020-06-30,"53,900","53,900","52,800","52,800",0.76,"21,157,172"
2020-06-29,"52,500","53,200","52,000","52,400",-1.69,"17,776,925"
2020-06-26,"52,800","53,900","52,200","53,300",2.7,"21,575,360"
2020-06-25,"52,100","53,000","51,900","51,900",-1.89,"18,541,624"
2020-06-24,"51,900","53,900","51,600","52,900",2.92,"24,519,552"
2020-06-23,"52,500","52,800","51,100","51,400",-1.15,"18,086,152"
2020-06-22,"52,000","52,600","51,800","52,000",-1.7,"13,801,350"
2020-06-19,"52,600","52,900","51,600","52,900",1.15,"18,157,985"
2020-06-18,"52,200","52,300","51,600","52,300",0.19,"15,982,926"
2020-06-17,"52,100","52,900","51,300","52,200",0.19,"26,672,595"
2020-06-16,"51,200","52,100","50,600","52,100",4.41,"21,808,375"
2020-06-15,"51,400","52,000","49,900","49,900",-4.59,"28,772,921"
2020-06-12,"52,100","52,800","51,500","52,300",-3.68,"26,976,019"
2020-06-11,"54,500","55,100","53,200","54,300",-1.99,"33,815,123"
2020-06-10,"55,100","55,900","54,900","55,400",-0.18,"16,742,493"
2020-06-09,"55,800","56,500","54,400","55,500",1.09,"23,998,831"
2020-06-08,"56,400","56,500","54,700","54,900",-1.08,"25,634,965"
2020-06-05,"54,400","55,900","54,000","55,500",1.65,"22,743,629"
2020-06-04,"55,800","57,000","54,600","54,600",0.18,"40,220,334"
2020-06-03,"51,800","55,000","51,700","54,500",6.03,"49,257,814"
2020-06-02,"51,000","51,500","50,800","51,400",0.39,"14,247,933"
2020-06-01,"50,800","51,200","50,600","51,200",0.99,"16,949,183"
2020-05-29,"50,000","50,700","49,700","50,700",0.6,"27,596,961"
2020-05-28,"51,100","51,200","49,900","50,400",1,"31,309,318"
2020-05-27,"48,950","50,000","48,800","49,900",1.32,"19,548,479"
2020-05-26,"48,700","49,450","48,600","49,250",0.82,"15,127,490"
2020-05-25,"48,750","48,900","48,450","48,850",0.21,"14,337,913"
2020-05-22,"49,600","49,800","48,600","48,750",-2.4,"19,706,284"
2020-05-21,"50,300","50,400","49,850","49,950",-0.1,"14,949,266"
2020-05-20,"50,000","50,200","49,800","50,000",-0.6,"14,896,899"
2020-05-19,"50,100","50,500","49,700","50,300",3.07,"25,168,295"
2020-05-18,"47,950","49,100","47,600","48,800",1.99,"20,481,981"
2020-05-15,"48,400","48,450","47,700","47,850",-0.31,"18,463,118"
2020-05-14,"47,750","48,100","47,650","48,000",-1.13,"19,305,974"
2020-05-13,"47,250","48,550","47,200","48,550",1.36,"20,223,277"
2020-05-12,"48,400","48,500","47,550","47,900",-1.03,"23,433,590"
2020-05-11,"48,900","49,250","48,300","48,400",-0.82,"16,357,743"
2020-05-08,"49,100","49,350","48,800","48,800",0,"15,319,700"
2020-05-07,"49,200","49,300","48,700","48,800",-0.81,"13,884,411"
2020-05-06,"49,000","49,200","48,500","49,200",1.44,"18,070,225"
2020-05-04,"48,900","49,100","48,500","48,500",-3,"26,083,749"
2020-04-29,"49,900","50,500","49,600","50,000",-0.2,"15,604,533"
2020-04-28,"49,850","50,100","49,300","50,100",0.5,"16,095,399"
2020-04-27,"49,350","50,000","49,100","49,850",1.01,"14,049,471"
2020-04-24,"49,650","49,750","49,000","49,350",-1,"15,618,347"
2020-04-23,"50,200","50,300","49,500","49,850",0,"18,754,442"
2020-04-22,"48,700","50,000","48,350","49,850",1.22,"18,613,864"
2020-04-21,"49,400","49,700","48,700","49,250",-1.7,"27,407,543"
2020-04-20,"51,400","51,400","50,000","50,100",-2.53,"21,866,354"
2020-04-17,"50,800","52,000","50,300","51,400",4.9,"32,041,675"
2020-04-16,"49,350","49,350","48,550","49,000",0,"23,349,760"
2020-04-14,"48,800","49,200","48,300","49,000",1.45,"14,206,216"
2020-04-13,"48,650","48,900","48,300","48,300",-1.93,"14,431,800"
2020-04-10,"48,950","49,250","48,650","49,250",0.31,"17,839,111"
2020-04-09,"49,750","49,800","48,700","49,100",1.03,"22,628,058"
2020-04-08,"49,600","49,750","48,600","48,600",-2.02,"25,010,314"
2020-04-07,"49,650","50,200","49,000","49,600",1.85,"31,524,034"
2020-04-06,"47,500","48,800","47,250","48,700",3.62,"23,395,726"
2020-04-03,"47,400","47,600","46,550","47,000",0.43,"22,784,682"
2020-04-02,"46,200","46,850","45,350","46,800",2.18,"21,621,076"
2020-04-01,"47,450","47,900","45,800","45,800",-4.08,"27,259,532"
2020-03-31,"48,000","48,500","47,150","47,750",-0.21,"30,654,261"
2020-03-30,"47,050","48,350","46,550","47,850",-0.93,"26,797,395"
2020-03-27,"49,600","49,700","46,850","48,300",1.05,"39,896,178"
2020-03-26,"49,000","49,300","47,700","47,800",-1.75,"42,185,129"
2020-03-25,"48,950","49,600","47,150","48,650",3.62,"52,735,922"
2020-03-24,"43,850","46,950","43,050","46,950",10.47,"49,801,908"
2020-03-23,"42,600","43,550","42,400","42,500",-6.39,"41,701,626"
2020-03-20,"44,150","45,500","43,550","45,400",5.7,"49,730,008"
2020-03-19,"46,400","46,650","42,300","42,950",-5.81,"56,925,513"
2020-03-18,"47,750","48,350","45,600","45,600",-3.59,"40,152,623"
